target,first_time_on_hero_count_diff,low_hero_exp_count_team_diff,matches_played_diff,winrate_diff,kills_per_min_diff,deaths_per_min_diff,assists_per_min_diff,networth_per_min_diff,damage_per_min_diff,damage_taken_per_min_diff,obj_damage_per_min_diff,crit_shot_rate_diff,accuracy_diff
0,0,1,11.333333333333336,-0.02633162365100905,0.018534915508423067,0.003621193022757596,-0.05464489175310716,-88.4373363330219,-60.41358601403488,-75.32042879853316,-64.02043557646815,-0.026888256452791498,-0.04484913686634018
0,0,0,19.833333333333336,-0.07511064298567177,-0.05020634510081762,-0.020447742335072655,-0.0466413265680522,-55.87924911901632,-168.26934935010797,-56.90816412593995,-44.34391549094781,0.051603580851004485,0.08294935513524271
0,-1,-2,-3.0000000000000018,0.0924070847851336,0.008764298555831385,-0.011214051167790812,-0.07415129329025683,-64.53094246667183,-135.72951242787303,-304.24538668605123,-10.376486145436871,-0.005851891245935076,0.023873649043804734
1,0,0,-24.333333333333336,-0.023796152913300395,0.007155434054369497,0.008883676845488075,0.0449018890606982,-3.01435540658008,27.744162822161456,-13.171280548905088,11.931991429646644,-0.018964347763776146,-0.06490436648308578
1,0,0,4.836507936507928,0.00233538368072439,-0.002349717527901446,0.01889749255942469,-0.025523561573741915,20.966832967711753,-57.998097664938996,-71.35661163028658,27.977851563983705,-0.025145400381258495,-0.09101513867705846
0,-2,-2,9.427536231884059,-0.006344447112044516,-0.010848594657330568,0.023433618721821203,-0.040002209073499995,-20.67403915229852,-128.14720234726792,-22.592083107745452,-60.721465655284646,0.018882474034947,0.06301282239622336
1,0,-1,18.5,0.00399034723683056,-0.06232117278651589,-0.0026526658460551966,-0.039352069535128875,-15.133627047363916,-216.62862702382643,42.84653927156489,-44.63257356108468,-0.022812905585978385,-0.09081495751230023
0,1,2,10.916666666666668,0.05151305450093879,-0.010624636328483233,-0.039466931448476184,0.03201368920320591,4.3007821780659015,118.26126112580255,115.47621327690695,-35.93569897619955,0.0022071830397148162,0.028570359312730442
1,0,-1,10.787878787878787,0.05727748992720283,0.014259612740291444,0.02803648225338165,0.03489048840143444,23.19041818977098,-87.23014997662028,-71.02536128368331,-20.49126073108124,0.006571053333366744,-0.0008878961719989142
0,2,2,-87.61519607843137,-0.07766766381683649,0.01340074863350621,0.008862654957774135,-0.03016564419889134,4.0487942886338715,86.38019318290299,95.49226405571608,-20.254423110527597,-0.045528849822109266,-0.077897461147997
1,-2,0,2.746376811594203,0.06475458273442264,0.08184164019669968,-0.05495536958084796,0.03990889606362047,102.15574049477573,233.10264312045035,98.53213276523888,2.578872655683824,-0.0392849674124805,-0.09167857233170024
1,0,1,7.5,0.08540710616878411,-0.02137281125780871,-0.006577301452477036,-0.00432361413612653,10.648260733461939,91.27054005676348,34.31640674849723,70.64014005139757,0.002880253953016526,-0.06973123193636416
0,0,1,-5.333333333333336,0.0771915105350392,-0.02734867112164921,-0.017745032799025673,0.011316738384631153,1.63694344563487,-85.87073770443033,-52.865470158953144,81.56585929597611,0.03974616280430068,-0.02609779739830298
0,1,0,7.307692307692308,-0.004850792350792332,-0.005947235617545316,0.005177130800176122,-0.06658532428536107,-102.8826454770192,-186.47182571321002,-195.8071429146952,36.96563529323879,-0.027571280989177216,0.04859838211061562
0,1,-2,-0.14999999999999858,0.19366949922505466,0.07787356011906316,-0.008836609354007208,0.10833568660481108,129.75700433287216,275.0184155340378,206.09899544011387,60.511941225727895,0.052561735417063646,-0.007585788191383447
0,0,0,-76.83333333333333,-0.050140924947346066,-0.016707790221340252,0.0020118309327212813,0.020770733215618287,17.54223734020502,35.65641726661045,31.748689387866534,-26.424616225144746,0.027629158668160486,0.006478787799592323
1,-1,-1,4.319444444444445,0.13680245904423338,0.05173281657733603,0.01570424437051307,0.04895134199051565,9.001539252244584,79.29450632064106,35.350724054521834,-34.98893771695673,0.008104712692269617,0.03723326093654877
1,0,-1,-10.624999999999998,-0.04546757919602745,0.009802854620075768,-0.01766331577224642,-0.017996476951313345,48.819543014054716,48.14881903424873,-38.35951115172577,-119.16324664072911,0.01153740999291078,0.08229198641754876
1,0,1,54.0,0.05525318541644764,-0.031505635499384205,0.022298267175929892,-0.006004901487910386,-62.67756216674229,-5.628812491507119,46.72302712922249,-21.999991469372304,0.01937817813419379,0.03190309744051234
0,0,0,-11.666666666666664,-0.24523195385629853,-0.044797298836060484,0.039611080201824245,-0.12386787480818517,-139.9839896935282,-169.3516761972112,-103.74068151105018,-25.098470638323874,0.042464599337514786,0.1522386577769657
1,0,1,-0.6666666666666714,-0.036907024021624935,-0.03143293098588765,0.01999360470814021,-0.02896773871282321,-162.42943843689682,-268.1998271176575,-137.54575264505775,-64.60533683405723,0.005229870110704415,-0.021939039459703213
1,-1,0,-45.35185185185185,0.09561208033218682,-0.012084675331740069,-0.004917572651344626,0.04830476324375316,10.08631010828276,-27.21194166953319,122.19975936519506,39.64672983233774,-0.009312305178624775,-0.030773468368150092
1,1,1,-52.66666666666666,0.021071185270891024,0.019211244263891453,0.016179742758214544,0.03191400116530735,-29.82278287236045,16.61939211122808,63.28780487551762,-39.208643415727636,0.02725285064981045,-0.007173233597105866
1,-1,0,-14.857142857142861,0.010483599281454925,0.003938899092491982,0.024264626831670466,0.02075788055322264,-51.43154732989046,23.722249190262232,-4.814626320610159,21.702087763182703,0.02032533494520561,0.03386517443994197
0,0,1,-0.16666666666666607,0.03293198199868952,-0.06828972778544298,0.020452186907361947,-0.03147229481619401,-122.44954781199942,-264.22772176397564,2.917500241763719,-104.26291840218003,0.0003625973118129566,-0.006235390934088314
1,1,0,122.27272727272728,0.0658318038167891,-0.05584819437240854,-0.028470601692989317,-0.01651850244378017,-11.524428689304386,-57.56485408217213,59.71375874121941,-20.062523264088867,0.040386649403652136,0.12463158164974181
0,0,0,4.166666666666668,-0.021443173228887447,-0.008814393777186486,0.03900825989075962,-0.0017450713796294814,-84.01039352203816,-9.2206752948249,106.84773084402934,-76.87271463285037,0.0002954365269930981,0.0293175699485142
1,0,-2,18.5,-0.1255063173541433,0.06327398537526188,-0.019738197844104133,0.06969376305448272,79.30524312165721,177.33613737251517,-14.912061639915464,42.612012722791405,0.06911910596177001,0.12246449781367913
1,1,1,2.291666666666666,0.13093711843711853,0.02116020584382669,-0.002432698888415935,-0.06826302112970473,62.04698163010471,146.86236041542543,-61.174757223229676,87.54183997584501,-0.0026007284557319904,-0.07361672774479777
